====== Params Pre-analysis =======
args:  Namespace(audio_feature='chinese-hubert-large-UTT', batch_size=32, contrastive_temperature=0.07, contrastive_weight=0.1, cross_kl_weight=0.01, dataset='MER2023', debug=False, dropout=0.35, e2e_dim=None, e2e_name=None, early_stopping_patience=30, emo_loss_weight=1.0, epochs=100, feat_scale=1, feat_type='utt', feature_noise_prob=0.35, feature_noise_std=0.02, feature_noise_warmup=5, focal_gamma=2.0, fusion_temperature=1.0, gate_alpha=0.5, gpu=0, grad_clip=1.0, hidden_dim=128, huber_beta=0.8, hyper_path=None, kl_warmup_epochs=20, kl_weight=0.01, l2=5e-05, label_smoothing=0.1, lr=0.0005, lr_adjust='case1', lr_factor=0.5, lr_patience=10, mixup_alpha=0.4, modality_dropout=0.18, modality_dropout_warmup=15, model='attention_robust_v7', n_classes=None, num_attention_heads=4, num_workers=0, print_iters=100000000.0, recon_weight=0.1, reg_loss_type='smoothl1', save_iters=100000000.0, save_root='/root/autodl-tmp/MERTools-master/MERBench/attention_robust_v7/outputs/sweep_results/v7sw_vlw1.2_vcw0.08_nsd0.02_20260214_161251-trimodal', savemodel=False, test_dataset=None, text_feature='Baichuan-13B-Base-UTT', train_dataset=None, use_contrastive=True, use_dynamic_kl=True, use_gated_fusion=True, use_mixup=False, use_modality_dropout=True, use_proxy_attention=True, use_vae=True, use_valence_prior=True, val_loss_weight=1.2, valence_center_reg_weight=0.005, valence_consistency_weight=0.08, video_feature='clip-vit-large-patch14-UTT')
====== Reading Data =======
train: sample number 3373
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/3373 [00:00<?, ?it/s] 45%|████▍     | 1508/3373 [00:00<00:00, 15073.55it/s] 89%|████████▉ | 3016/3373 [00:00<00:00, 12676.13it/s]100%|██████████| 3373/3373 [00:00<00:00, 13240.65it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/3373 [00:00<?, ?it/s] 26%|██▋       | 889/3373 [00:00<00:00, 8883.87it/s] 53%|█████▎    | 1778/3373 [00:00<00:00, 7820.81it/s] 76%|███████▌  | 2569/3373 [00:00<00:00, 7325.36it/s] 98%|█████████▊| 3307/3373 [00:00<00:00, 7311.03it/s]100%|██████████| 3373/3373 [00:00<00:00, 7526.44it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/3373 [00:00<?, ?it/s] 42%|████▏     | 1425/3373 [00:00<00:00, 14240.00it/s] 84%|████████▍ | 2849/3373 [00:00<00:00, 12170.60it/s]100%|██████████| 3373/3373 [00:00<00:00, 12765.70it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test1: sample number 411
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 15054.35it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 12135.07it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 15854.20it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test2: sample number 412
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 13584.15it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 11713.47it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 17419.19it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test3: sample number 834
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 13706.77it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 10401.36it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 15598.60it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
train&val folder:5; test sets:3
audio dimension: 1024; text dimension: 5120; video dimension: 768
====== Training and Evaluation =======
>>>>> Cross-validation: training on the 1 folder >>>>>
Step1: build model (each folder has its own model)
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Step2: training (multiple epoches)
epoch:1; metric:emoval; train:-0.1006; eval:-0.0173; lr:0.000500
epoch:2; metric:emoval; train:0.3393; eval:0.4290; lr:0.000500
epoch:3; metric:emoval; train:0.5276; eval:0.4939; lr:0.000500
epoch:4; metric:emoval; train:0.5771; eval:0.5685; lr:0.000500
epoch:5; metric:emoval; train:0.5969; eval:0.5789; lr:0.000500
epoch:6; metric:emoval; train:0.6331; eval:0.5171; lr:0.000500
epoch:7; metric:emoval; train:0.6748; eval:0.5575; lr:0.000500
epoch:8; metric:emoval; train:0.6858; eval:0.5162; lr:0.000500
epoch:9; metric:emoval; train:0.6800; eval:0.5463; lr:0.000500
epoch:10; metric:emoval; train:0.6973; eval:0.5509; lr:0.000500
epoch:11; metric:emoval; train:0.7195; eval:0.5694; lr:0.000500
epoch:12; metric:emoval; train:0.7334; eval:0.5489; lr:0.000500
epoch:13; metric:emoval; train:0.7483; eval:0.5524; lr:0.000500
epoch:14; metric:emoval; train:0.7185; eval:0.5050; lr:0.000500
epoch:15; metric:emoval; train:0.7294; eval:0.5473; lr:0.000500
epoch:16; metric:emoval; train:0.7483; eval:0.5287; lr:0.000250
epoch:17; metric:emoval; train:0.7869; eval:0.5914; lr:0.000250
epoch:18; metric:emoval; train:0.7887; eval:0.5765; lr:0.000250
epoch:19; metric:emoval; train:0.8066; eval:0.5674; lr:0.000250
epoch:20; metric:emoval; train:0.7964; eval:0.5705; lr:0.000250
epoch:21; metric:emoval; train:0.7922; eval:0.5836; lr:0.000250
epoch:22; metric:emoval; train:0.7935; eval:0.5554; lr:0.000250
epoch:23; metric:emoval; train:0.7920; eval:0.5784; lr:0.000250
epoch:24; metric:emoval; train:0.7815; eval:0.5721; lr:0.000250
epoch:25; metric:emoval; train:0.7603; eval:0.5877; lr:0.000250
epoch:26; metric:emoval; train:0.7693; eval:0.5721; lr:0.000250
epoch:27; metric:emoval; train:0.7680; eval:0.6178; lr:0.000250
epoch:28; metric:emoval; train:0.7641; eval:0.5396; lr:0.000250
epoch:29; metric:emoval; train:0.7614; eval:0.5794; lr:0.000250
epoch:30; metric:emoval; train:0.7695; eval:0.5787; lr:0.000250
epoch:31; metric:emoval; train:0.7519; eval:0.5754; lr:0.000250
epoch:32; metric:emoval; train:0.7650; eval:0.5725; lr:0.000250
epoch:33; metric:emoval; train:0.7456; eval:0.5985; lr:0.000250
epoch:34; metric:emoval; train:0.7656; eval:0.5638; lr:0.000250
epoch:35; metric:emoval; train:0.7582; eval:0.5811; lr:0.000250
epoch:36; metric:emoval; train:0.7845; eval:0.5670; lr:0.000250
epoch:37; metric:emoval; train:0.7564; eval:0.5787; lr:0.000250
epoch:38; metric:emoval; train:0.7786; eval:0.6157; lr:0.000125
epoch:39; metric:emoval; train:0.7891; eval:0.6079; lr:0.000125
epoch:40; metric:emoval; train:0.8275; eval:0.5713; lr:0.000125
epoch:41; metric:emoval; train:0.7977; eval:0.5907; lr:0.000125
epoch:42; metric:emoval; train:0.8006; eval:0.5989; lr:0.000125
epoch:43; metric:emoval; train:0.8069; eval:0.6143; lr:0.000125
epoch:44; metric:emoval; train:0.8113; eval:0.5897; lr:0.000125
epoch:45; metric:emoval; train:0.8184; eval:0.6141; lr:0.000125
epoch:46; metric:emoval; train:0.8058; eval:0.6034; lr:0.000125
epoch:47; metric:emoval; train:0.8138; eval:0.6064; lr:0.000125
epoch:48; metric:emoval; train:0.8108; eval:0.5699; lr:0.000125
epoch:49; metric:emoval; train:0.8098; eval:0.5837; lr:0.000063
epoch:50; metric:emoval; train:0.8284; eval:0.5975; lr:0.000063
epoch:51; metric:emoval; train:0.8421; eval:0.5900; lr:0.000063
epoch:52; metric:emoval; train:0.8458; eval:0.6132; lr:0.000063
epoch:53; metric:emoval; train:0.8430; eval:0.6015; lr:0.000063
epoch:54; metric:emoval; train:0.8364; eval:0.6018; lr:0.000063
epoch:55; metric:emoval; train:0.8388; eval:0.6033; lr:0.000063
epoch:56; metric:emoval; train:0.8189; eval:0.6136; lr:0.000063
epoch:57; metric:emoval; train:0.8370; eval:0.5950; lr:0.000063
Early stopping at epoch 57, best epoch: 27
Step3: saving and testing on the 1 folder
>>>>> Finish: training on the 1-th folder, best_index: 26, duration: 168.38248443603516 >>>>>
>>>>> Cross-validation: training on the 2 folder >>>>>
Step1: build model (each folder has its own model)
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Step2: training (multiple epoches)
epoch:1; metric:emoval; train:-0.1276; eval:0.1139; lr:0.000500
epoch:2; metric:emoval; train:0.3389; eval:0.5307; lr:0.000500
epoch:3; metric:emoval; train:0.5058; eval:0.5983; lr:0.000500
epoch:4; metric:emoval; train:0.5769; eval:0.4404; lr:0.000500
epoch:5; metric:emoval; train:0.6173; eval:0.5608; lr:0.000500
epoch:6; metric:emoval; train:0.6250; eval:0.5992; lr:0.000500
epoch:7; metric:emoval; train:0.6796; eval:0.5708; lr:0.000500
epoch:8; metric:emoval; train:0.6727; eval:0.5766; lr:0.000500
epoch:9; metric:emoval; train:0.6752; eval:0.5685; lr:0.000500
epoch:10; metric:emoval; train:0.7107; eval:0.5762; lr:0.000500
